"","date","id","deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","new_confirmed_nod","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"592",2020-04-28,"22745cb1",0,162,17,281482,2,"Sweden","Värmland",NA,162,17,6.85582732789117,13.8849432812547,9.75667840988135,1.7089255714764,2.29383166488928,2.00137861818284,-0.0285017206263471,0.102706987458074,0.0145259612327314,0.0596793055989952,0.0371026334158633,0.133831526951343,1.99999994276107,1.10846034974898,"Sweden","Värmland",NA,0
"593",2020-04-29,"22745cb1",0,176,14,281482,2,"Sweden","Värmland",NA,176,14,7.83875839245464,15.7347323136182,11.1058887522072,1.74819711906945,2.32876538412795,2.0384812515987,-0.0373053956950569,0.0937447028180742,0.00567027283142434,0.0507690342915931,0.0282196535615087,0.199307571575985,1.99999994276107,0.844097108881037,"Sweden","Värmland",NA,0
"594",2020-04-30,"22745cb1",0,185,9,281482,2,"Sweden","Värmland",NA,185,9,7.92127770988875,15.8789596878533,11.2152418356277,1.77797616380679,2.35542564651363,2.06670090516021,-0.0450139815680971,0.0856938449625056,-0.00215055536294132,0.0428304187573499,0.0203399316972043,0.27093269541735,1.99999994276107,0.6099945907247,"Sweden","Värmland",NA,0
"595",2020-05-01,"22745cb1",0,198,13,281482,2,"Sweden","Värmland",NA,198,13,6.91401566616642,13.9232369812607,9.81149726658394,1.79925738205772,2.3748242916571,2.08704083685741,-0.052279517237928,0.0779600976304834,-0.00956963314699314,0.0352502135395486,0.0128402901962777,0.349576273416665,1.99999994276107,0.386464692193297,"Sweden","Värmland",NA,0
"596",2020-05-02,"22745cb1",0,204,6,281482,2,"Sweden","Värmland",NA,204,6,6.33566877382401,12.8303333443464,9.01602697020856,1.81260890831317,2.38715334579422,2.09988112705369,-0.0582056396764367,0.0715874686452653,-0.0156421798733429,0.0290240088421715,0.0066909144844143,0.419929164968831,1.99999994276107,0.202074695377284,"Sweden","Värmland",NA,0
"597",2020-05-03,"22745cb1",0,207,3,281482,2,"Sweden","Värmland",NA,207,3,1.85081919524822,4.29545587719454,2.81959433072444,1.81967529718815,2.39346878588806,2.10657204153811,-0.0638647930898232,0.0657240123005933,-0.021368330985728,0.0232275501964981,0.000929609605385013,0.488783327556964,1.99999994276107,0.0281197336567447,"Sweden","Värmland",NA,0
"598",2020-05-04,"22745cb1",0,213,6,281482,2,"Sweden","Värmland",NA,213,6,4.5661659189503,9.51370279043999,6.59098971663053,1.82114216289662,2.39386113939036,2.10750165114349,-0.0691815641215712,0.0604792883276123,-0.0266614754002433,0.0179591996062844,-0.00435113789697945,0.552327630913448,1.99999994276107,-0.131544308228104,"Sweden","Värmland",NA,0
"599",2020-05-05,"22745cb1",0,230,17,281482,2,"Sweden","Värmland",NA,230,17,7.63081106739243,15.2908358054139,10.8019201577142,1.81736078322152,2.3889402432715,2.10315051324651,-0.0742679295191405,0.0555227779242516,-0.0317052570435771,0.0129601054486882,-0.00937257579744444,0.611438311945911,1.99999994276107,-0.283069741543321,"Sweden","Värmland",NA,0
"600",2020-05-06,"22745cb1",0,244,14,281482,2,"Sweden","Värmland",NA,244,14,8.31627289449224,16.5656315131755,11.7373043043609,1.80833383192917,2.37922204296897,2.09377793744907,-0.0772455678587361,0.0525424661928395,-0.0346837720769093,0.00998067041101272,-0.0123515508329483,0.645443706334219,1.99999994276107,-0.373048177556558,"Sweden","Värmland",NA,0
"601",2020-05-07,"22745cb1",0,253,9,281482,2,"Sweden","Värmland",NA,253,9,8.05950573980014,16.0730859577548,11.38161361727,1.79596095062979,2.36689182260245,2.08142638661612,-0.0774613528425377,0.0521235425989852,-0.0349661729402075,0.00962836269665492,-0.0126689051217763,0.649226457682462,1.99999994276107,-0.383232901915512,"Sweden","Värmland",NA,0
