"","date","id","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","series","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"3004",2020-08-19,"d46c7fb5",0,0,586,11,159684,2,"Sweden","Blekinge",NA,586,11,4.15542836579952,11.0815093047674,6.78589847410803,0.752847180300619,1.59352840892647,1.17318779461354,-0.162173814738079,0.0144554387185791,-0.104251231430195,-0.0434671445893043,-0.0738591880097498,0.94940949254257,1.23677241287013,-1.63915484658949,"Sweden","Blekinge",NA,0
"3005",2020-08-20,"d46c7fb5",0,0,589,3,159684,2,"Sweden","Blekinge",NA,589,3,2.21031624564797,6.18224086901711,3.69658050464173,0.67384482546073,1.52481238774686,1.09932860660379,-0.162942008225834,0.0186649135294261,-0.103387082590378,-0.0408900121060294,-0.0721385473482038,0.940275171004086,1.23677241287013,-1.55708772917871,"Sweden","Blekinge",NA,0
"3006",2020-08-21,"d46c7fb5",0,0,592,3,159684,2,"Sweden","Blekinge",NA,592,3,2.40923546580904,6.70959130352194,4.0205702741687,0.594624421101474,1.45975569740971,1.02719005925559,-0.163024531051841,0.0257126764074265,-0.101131348533016,-0.0361805061113981,-0.068655927322207,0.923055911843874,1.23677241287013,-1.42593129026524,"Sweden","Blekinge",NA,0
"3007",2020-08-22,"d46c7fb5",0,0,594,2,159684,2,"Sweden","Blekinge",NA,594,2,1.07125261337097,3.26849229071582,1.87119772023488,0.515634571249378,1.40143369261739,0.958534131933383,-0.163278381473897,0.0354373566202395,-0.0981129082066412,-0.029728116647016,-0.0639205124268286,0.896330398967044,1.23677241287013,-1.26091575263737,"Sweden","Blekinge",NA,0
"3008",2020-08-23,"d46c7fb5",0,0,594,0,159684,2,"Sweden","Blekinge",NA,594,0,0.774621825307454,2.56492515632006,1.40955560598568,0.436204723483164,1.35302251552995,0.894613619506555,-0.163914284929623,0.0482301705324715,-0.0943450903917319,-0.0213390240054198,-0.0578420571985758,0.857416598936352,1.23677241287013,-1.06878446249255,"Sweden","Blekinge",NA,0
"3009",2020-08-24,"d46c7fb5",0,0,594,0,159684,2,"Sweden","Blekinge",NA,594,0,0.505085108023779,1.83782920325114,0.963462589649104,0.35482788209085,1.31871524252511,0.836771562307979,-0.166118755095436,0.0631145886892322,-0.0909455479824348,-0.012058618423769,-0.0515020832031019,0.810758298050171,1.23677241287013,-0.880694113171299,"Sweden","Blekinge",NA,0
"3010",2020-08-25,"d46c7fb5",0,0,596,2,159684,2,"Sweden","Blekinge",NA,596,2,1.89952102188325,6.14456691517159,3.41639196020257,0.268162772535565,1.30237618567419,0.785269479104877,-0.170622572119817,0.0791932570212882,-0.088699686233848,-0.00272962886468037,-0.0457146575492642,0.763412003827591,1.23677241287013,-0.717321097467616,"Sweden","Blekinge",NA,0
"3011",2020-08-26,"d46c7fb5",0,0,600,4,159684,2,"Sweden","Blekinge",NA,600,4,2.36519666367512,8.17897052372224,4.39828077719067,0.1718076803978,1.30730196271343,0.739554821555613,-0.177798732116297,0.0953013843874375,-0.0882401570784317,0.00574280934957224,-0.0412486738644297,0.72309500949878,1.23677241287013,-0.592060642223969,"Sweden","Blekinge",NA,0
"3012",2020-08-27,"d46c7fb5",0,0,601,1,159684,2,"Sweden","Blekinge",NA,601,1,1.23430502125216,4.96425588966093,2.47535976605201,0.0616303275552665,1.3349819678271,0.698306147691183,-0.187289943599166,0.11070338743645,-0.0895680588925672,0.0129815027298514,-0.0382932780813579,0.692772918213895,1.23677241287013,-0.503725674857254,"Sweden","Blekinge",NA,0
"3013",2020-08-28,"d46c7fb5",0,0,607,6,159684,2,"Sweden","Blekinge",NA,607,6,1.29329054231543,5.99726388323628,2.78499634828475,-0.0650175499908707,1.38504328921052,0.660012869609825,-0.199515413902661,0.123962071494354,-0.0934364307814938,0.0178830883731861,-0.0377766712041538,0.676445087703448,1.23677241287013,-0.457780948340686,"Sweden","Blekinge",NA,0
